Date,Open,High,Low,Close,Volume
2006-06-25,1178.57,1205.57,1178.57,1198.44,1734.712028143
2006-07-02,1198.81,1226.96,1179.13,1184.49,19757.014488677
2006-07-09,1180.72,1218.44,1176.7,1214.06,14044.346972655
2006-07-16,1216.8,1282.04,1214.62,1275.5,67926.158350265
2006-07-23,1270.89,1290.1,1243.29,1286.32,60845.539138459
2006-07-30,1282.92,1282.92,1237.74,1240.76,34384.531837756
2006-08-06,1244.22,1268.6,1221.83,1247.67,35117.838022749
2006-08-13,1254.57,1275.13,1239.18,1264.31,21652.586311715
2006-08-20,1252.7,1258.02,1182.87,1191.03,39243.784521931
2006-08-27,1190.09,1218.62,1189.9,1206.82,26213.926655745
2006-09-03,1208.46,1211.86,1181.6,1184.49,22957.909927352
2006-09-10,1188.78,1210.61,1173.4,1199.18,31652.489081267
2006-09-17,1208.46,1210.42,1107.7,1156.38,29288.708015223
2006-09-24,1155.82,1175.22,1141.22,1165.34,24021.514891195
2006-10-01,1164.4,1171.07,1133.95,1143.66,19327.626076172
2006-10-08,1146.78,1169.3,1113.85,1123.33,53221.428299636
2006-10-15,1126.08,1130.03,1095.07,1098.33,23255.60778777
2006-10-22,1097.77,1121.32,1093.06,1111.67,29211.06635422
2006-10-29,1113.68,1114.78,1089.75,1107.7,23029.331676285
2006-11-05,1109.57,1126.96,1095.25,1117.96,22693.456424546
2006-11-12,1111.86,1113.85,1082.85,1091.01,21348.668539227
2006-11-19,1089.94,1090.26,1058.05,1062.34,18567.509925363
2006-11-26,1066.49,1067.56,1049.66,1054.88,9695.9849970648
2006-12-03,1057.86,1089.24,1057.3,1081.03,22743.430200826
2006-12-10,1076.65,1086.49,1059.82,1076.46,18842.043975317
2006-12-17,1077.96,1084.48,1054.88,1063.08,11856.439282362
2006-12-24,1059.96,1090.46,1054.5,1083.55,21348.239579774
2006-12-31,1085.42,1087.94,1069.57,1080.11,11729.681763985
2007-01-07,1069.75,1097.4,1055.44,1067.18,38296.427569865
2007-01-14,1065.64,1070.64,1029.32,1029.32,25960.197139264
2007-01-21,1031.66,1080.11,1029.7,1062.15,59799.521512191
2007-01-28,1062.15,1082.34,1053.62,1076.65,39266.09041349
2007-02-04,1078.51,1083.55,1057.12,1063.83,17316.020721084
2007-02-11,1058.05,1077.4,1049.98,1071.01,28357.437042647
2007-02-18,1075.2,1079.07,1049.1,1050.73,15680.612806322
2007-02-25,1056.18,1059.26,1034.22,1040.84,37045.152845312
2007-03-04,1034.78,1113.68,1034.78,1112.22,73053.081733144
2007-03-11,1121.32,1124.44,1091.76,1101.64,40677.152534305
2007-03-18,1100.75,1124.81,1093.06,1105.38,38075.942410997
2007-03-25,1095.63,1101.64,1063.08,1069.57,38576.752572435
2007-04-01,1073.01,1089.06,1060.7,1079.07,18511.53071674
2007-04-08,1073.75,1084.68,1053.24,1054.32,16027.212044388
2007-04-15,1054.5,1070.26,1052.36,1054.13,12077.138920957
2007-04-22,1047.28,1053.06,1034.78,1038.97,19988.438113599
2007-04-29,1037.53,1041.4,1012.12,1014.96,21641.218886209
2007-05-06,1019.17,1036.23,1009.8,1016.08,15955.361336002
2007-05-13,1016.65,1028.11,1008.48,1013.66,13949.117974077
2007-05-20,1012.6,1032.54,1012.44,1016.46,13520.373000751
2007-05-27,1015.71,1032.73,1002.84,1022.1,19999.805539104
2007-06-03,1022.1,1025.03,997.02,1003.22,13443.160299202
2007-06-10,1005.04,1030.4,999.72,1016.65,26198.055155982
2007-06-17,1016.83,1030.22,996.65,998.79,18131.043681883
2007-06-24,997.2,1013.1,996.65,1010.12,8705.3031402408
2007-07-01,1011.19,1020.42,987.175,994.5,13521.230919658
2007-07-08,990.865,992.68,968.345,969.275,10170.199672414
2007-07-15,968.715,981.445,948.945,949.135,10119.582456954
2007-07-22,951.745,955.8,937.34,948.765,15481.575620106
2007-07-29,949.135,990.495,945.265,990.495,17520.848859916
2007-08-05,988.485,1014.03,971.745,1008.68,30268.236926267
2007-08-12,1004.15,1019.17,972.125,1003.96,29421.042006489
2007-08-19,997.715,1070.64,931.645,1022.1,44048.559355568
2007-08-26,1024.29,1033.29,987.365,987.365,16422.712660102
2007-09-02,990.675,1020.42,972.675,975.245,16810.063046209
2007-09-09,971.565,994.31,953.235,990.165,25426.571579668
2007-09-16,981.725,998.095,967.46,970.87,6975.0951863549
2007-09-23,975.615,983.915,945.265,949.83,20781.798622019
2007-09-30,947.265,950.02,912.68,917.66,11630.806610057
2007-10-07,914.535,918.78,892.205,892.95,7217.8862367824
2007-10-14,893.885,902.465,875.605,881.855,7146.0355283961
2007-10-21,881.715,901.9,874.35,900.785,12493.444070145
2007-10-28,901.9,904.285,871.645,877.195,16941.968078022
2007-11-04,873.28,882.785,859.235,869.685,14451.429493601
2007-11-11,879.01,944.7,845.45,944.33,30263.303892557
2007-11-18,955.24,988.86,916.41,936.96,34262.278393636
2007-11-25,942.515,966.715,930.06,949.315,28841.732265142
2007-12-02,939.16,976.36,904.285,918.78,29903.8358709
2007-12-09,920.555,936.41,899.205,903.905,20941.586018281
2007-12-16,889.685,928.385,886.845,927.265,21955.431685569
2007-12-23,932.585,960.835,900.97,902.645,38744.904678031
2007-12-30,898.27,910.335,890.71,898.075,9373.6219680961
2008-01-06,909.225,969.65,907.36,969.09,15697.127745265
2008-01-13,969.09,1007.56,960.835,994.5,68392.651755459
2008-01-20,985.55,1039.63,975.245,1035.48,84356.806760248
2008-01-27,1105.5,1121.68,1016.83,1055.44,76982.135843376
2008-02-03,1066.3,1076.65,1020.8,1040.66,36690.617857365
2008-02-10,1021.92,1126.26,1021.92,1072.5,51600.176046825
2008-02-17,1063.27,1077.4,1039.36,1072.13,29806.89103451
2008-02-24,1057.3,1093.06,1048.54,1073.2,22144.173844912
2008-03-02,1073.58,1090.64,1052.73,1078.51,33157.707802027
2008-03-09,1092.5,1130.22,1076.09,1113.68,40233.608459849
2008-03-16,1115.53,1136.89,1076.65,1116.28,56336.102888248
2008-03-23,1148.4,1148.4,1069.89,1094.88,30316.494864736
2008-03-30,1074.84,1074.84,1028.25,1060.52,26113.979103184
2008-04-06,1060.52,1064.9,998.97,1008.3,25635.260353577
2008-04-13,1003.96,1047.66,997.715,1043.27,13623.323269484
2008-04-20,1046.53,1058.79,983.915,989.23,31114.573927139
2008-04-27,990.495,1004.86,966.345,977.665,24796.001183681
2008-05-04,977.105,982.43,938.41,944.52,21194.672095581
2008-05-11,945.825,963.825,939.48,956.545,12346.954416927
2008-05-18,955.24,957.295,920.74,924.84,10867.902222803
2008-05-25,921.675,964.705,915.47,957.475,29437.556945432
2008-06-01,955.99,955.99,918.965,921.3,12286.25665432
2008-06-08,924.375,948.015,911.275,941.115,20972.256619174
2008-06-15,939.855,979.625,939.855,952.305,25748.934608636
2008-06-22,958.315,974.125,939.855,969.65,27750.459416578
2008-06-29,967.265,1017.9,955.615,1003.78,37908.648224306
2008-07-06,1006.8,1032.73,993.05,1026.06,52625.38913962
2008-07-13,1016.98,1041.97,994.13,1026.25,57186.943963377
2008-07-20,1011.93,1055.62,997.345,1017.34,37264.994565001
2008-07-27,1014.4,1040.47,995.57,1010.12,36331.793274886
2008-08-03,1009.42,1033.66,990.865,1016.83,64864.460254105
2008-08-10,1017.72,1030.4,961.03,963.45,43065.169809446
2008-08-17,964.2,966.9,940.56,947.455,36351.739889453
2008-08-24,943.63,982.615,943.63,963.075,22887.989536505
2008-08-31,966.715,992.87,964.705,990.3,42213.899774864
2008-09-07,972.865,1062.71,967.97,1046.34,40525.729847377
2008-09-14,1034.4,1079.45,1029.88,1045.97,57742.017495626
2008-09-21,1071.94,1146.78,1021.92,1061.59,64640.757899338
2008-09-28,1054.5,1118.34,1039.16,1097.96,25267.213142859
2008-10-05,1118.84,1227.53,1117.04,1227.53,60410.574253064
2008-10-12,1256.38,1494.17,1246.78,1395.46,99062.394729783
2008-10-19,1319.56,1454.96,1190.83,1323.9,67010.544397725
2008-10-26,1300.07,1511.19,1279.42,1439.48,74799.804625973
2008-11-02,1457.34,1474.17,1251.12,1274.24,91099.191443323
2008-11-09,1274.94,1365.3,1228.46,1326.61,78318.55901936
2008-11-16,1299,1513.38,1297.46,1418.6,133076.09112038
2008-11-23,1443.31,1628.4,1405.78,1528.77,170719.21344324
2008-11-30,1491.24,1509,1378.04,1388.85,80707.86317286
2008-12-07,1419.15,1496.78,1376.73,1383.68,288721.88386309
2008-12-14,1352.25,1400.42,1295.04,1344.42,135914.73030095
2008-12-21,1338.96,1384.42,1294.86,1327.34,80584.108370655
2008-12-28,1326.09,1376.36,1324.46,1359.94,26481.382874723
