Date,Open,High,Low,Close,Volume
2010-02-14,10276919,10376519,9699657,9749434,0.865892
2010-02-21,9537452,9697092,8939804,9061121,1.443154
2010-02-28,8962733,9654965,8956388,9073879,1.972309
2010-03-07,8967841,8974256,8081540,8123665,1.683678
2010-03-14,8070041,8127515,7555384,7640919,2.260939
2010-03-21,7693309,7840166,7328078,7547711,2.501466
2010-03-28,7617992,7649877,7024099,7282103,4.762402
2010-04-04,7182433,7372746,6988387,7210587,2.453361
2010-04-11,7176088,7218260,6823592,6835068,3.559778
2010-04-18,6815894,6873392,6368976,6595001,5.916906
2010-04-25,6684362,6859373,6208030,6227181,7.600592
2010-05-02,6210619,6798051,6172272,6672909,11.59332
2010-05-09,6591153,9630707,6072649,8289721,20.97383
2010-05-16,7269320,7644815,6614175,7402182,15.20121
2010-05-23,7348487,9191370,7105855,8483859,19.77119
2010-05-30,8421253,9299928,7706091,7901490,20.05982
2010-06-06,7973006,8141557,7285881,8061106,14.33532
2010-06-13,7933422,8898915,7769957,7796734,24.48549
2010-06-20,7574559,7828643,6838869,6971756,14.19099
2010-06-27,6725275,7956352,6694624,7783952,21.26246
2010-07-04,7783952,9790324,7662683,9336946,25.30329
2010-07-11,8938474,9483804,7988330,7988330,14.28722
2010-07-18,8011284,8122430,7384269,8057258,15.20119
2010-07-25,8024088,8343346,7159480,7174851,19.24204
2010-08-01,7151783,7644815,6881042,7276948,15.24932
2010-08-08,7021533,7133939,6731619,6819790,11.97817
2010-08-15,6727818,7886119,6640952,7761000,11.68953
2010-08-22,7882339,7976807,7196544,7646098,12.41111
2010-08-29,7469779,8683036,7421286,8011284,18.56857
2010-09-05,8159447,8529810,6985775,7011292,16.45193
2010-09-12,7085398,7176088,6685667,6743189,9.5729
2010-09-19,6575828,6575828,6044542,6104628,13.3732
2010-09-26,6034325,6049720,5473695,5497953,23.66771
2010-10-03,5469822,5835101,5411159,5681876,24.29308
2010-10-10,5741892,5971741,5371529,5398329,28.81497
2010-10-17,5400872,5565645,4859393,4859393,31.22021
2010-10-24,4853025,5158239,4784052,4805767,33.86592
2010-10-31,4748293,4863217,4579743,4655060,22.32076
2010-11-07,4609086,4711229,4222115,4269396,28.38201
2010-11-14,4291088,4644867,4183813,4547763,21.79161
2010-11-21,4481356,4879802,4454600,4540089,25.4957
2010-11-28,4593761,4713864,4324304,4444338,17.60646
2010-12-05,4457072,4666537,4140405,4154400,25.25518
2010-12-12,4154400,4197833,3997348,4008850,15.39363
2010-12-19,3959025,4112298,3942487,3978200,14.191
2010-12-26,3959025,4053541,3882401,3927116,8.65891
2011-01-02,3964181,4040805,3887508,3982001,7.023322
2011-01-09,3869664,3873491,3655116,3679351,19.0015
2011-01-16,3712591,3732978,3460978,3463520,14.81636
2011-01-23,3546536,3717676,3421348,3710002,20.10795
2011-01-30,3693393,3722760,3393287,3676763,32.80769
