Date,Open,High,Low,Close,Volume
2008-12-21,0.27863,0.29636,0.25385,0.2706,10097660
2008-12-28,0.27011,0.27011,0.23756,0.24996,8775190
2009-01-04,0.24634,0.30267,0.23636,0.30267,8724630
2009-01-11,0.30049,0.34082,0.27911,0.28175,26755860
2009-01-18,0.28226,0.28226,0.22155,0.25264,39123900
2009-01-25,0.24801,0.25309,0.21327,0.24341,41693060
2009-02-01,0.24509,0.29221,0.23514,0.23733,55494730
2009-02-08,0.22639,0.31238,0.22639,0.30752,65508120
2009-02-15,0.30876,0.31457,0.25335,0.27742,91425180
2009-02-22,0.25603,0.25603,0.20938,0.22009,66368670
2009-03-01,0.22494,0.22541,0.18825,0.20139,82238410
2009-03-08,0.19215,0.20574,0.1608,0.1732,108578630
2009-03-15,0.16858,0.22857,0.15765,0.22203,133240360
2009-03-22,0.22711,0.26235,0.21085,0.23733,144553910
2009-03-29,0.26673,0.30169,0.24947,0.27863,206068500
2009-04-05,0.25921,0.33254,0.24267,0.32794,232290040
2009-04-12,0.31165,0.33984,0.28809,0.3357,142708520
2009-04-19,0.33328,0.35198,0.30072,0.34591,233061660
2009-04-26,0.3277,0.36413,0.30219,0.35684,358087840
2009-05-03,0.34324,0.39763,0.33789,0.37795,263398160
2009-05-10,0.38892,0.40592,0.33837,0.35272,334614360
2009-05-17,0.33837,0.36606,0.32114,0.33595,345739930
2009-05-24,0.34082,0.38695,0.33229,0.34153,326541460
2009-05-31,0.33254,0.39571,0.33254,0.39571,230034010
2009-06-07,0.40567,0.45596,0.40517,0.44648,280751630
2009-06-14,0.43893,0.47489,0.41999,0.45863,221762250
2009-06-21,0.44671,0.45159,0.41491,0.4426,188817190
2009-06-28,0.4302,0.44987,0.39351,0.4433,219723620
2009-07-05,0.44745,0.46737,0.4195,0.42363,143059560
2009-07-12,0.41394,0.42218,0.36899,0.39692,313393550
2009-07-19,0.40081,0.5176,0.38331,0.5172,470240320
2009-07-26,0.5264,0.5869,0.5174,0.567,460972110
