Date,Open,High,Low,Close,Volume
2010-02-14,0.194447,0.209348,0.193849,0.207598,25216444
2010-02-21,0.212437,0.226381,0.209156,0.223408,238817791
2010-02-28,0.22607,0.22607,0.208365,0.222308,368971296
2010-03-07,0.225084,0.248707,0.225084,0.247605,189555630
2010-03-14,0.247796,0.264756,0.247317,0.262458,211155694
2010-03-21,0.26073,0.273188,0.255175,0.265427,231356549
2010-03-28,0.26236,0.283968,0.261259,0.27405,399112330
2010-04-04,0.27817,0.285358,0.27022,0.276398,265778803
2010-04-11,0.278362,0.291778,0.27635,0.291108,376863127
2010-04-18,0.292064,0.312332,0.288664,0.300115,368637026
2010-04-25,0.297337,0.319184,0.288759,0.318176,479548113
2010-05-02,0.318368,0.320811,0.289861,0.29379,536523466
2010-05-09,0.297239,0.310177,0.16927,0.229302,831158413
2010-05-16,0.258289,0.280662,0.240228,0.248707,737876563
2010-05-23,0.251149,0.259631,0.197083,0.21378,1122619978
2010-05-30,0.21493,0.231987,0.19313,0.22662,918507406
2010-06-06,0.224274,0.243341,0.21493,0.218139,708626824
2010-06-13,0.220199,0.222882,0.196196,0.222044,989961345
2010-06-20,0.228607,0.251295,0.221302,0.246361,931351037
2010-06-27,0.255318,0.25642,0.215025,0.219648,1091390219
2010-07-04,0.219864,0.223122,0.171425,0.181081,1242549211
2010-07-11,0.18798,0.209083,0.177415,0.208269,699402414
2010-07-18,0.207456,0.225016,0.203215,0.204197,709707152
2010-07-25,0.205347,0.227913,0.196819,0.227675,724354183
2010-08-01,0.228607,0.237137,0.212846,0.223913,607456680
2010-08-08,0.232249,0.240945,0.226812,0.237783,475646111
2010-08-15,0.240993,0.243963,0.202999,0.206953,630371708
2010-08-22,0.203862,0.222356,0.201227,0.209251,500039013
2010-08-29,0.213921,0.215219,0.182733,0.197441,751411942
2010-09-05,0.194399,0.223913,0.185511,0.223913,582065110
2010-09-12,0.220942,0.233589,0.21802,0.231553,380809795
2010-09-19,0.237589,0.257569,0.237352,0.255175,459266175
2010-09-26,0.258049,0.28234,0.25714,0.280566,662200095
2010-10-03,0.281907,0.284972,0.264084,0.271273,624882423
2010-10-10,0.268589,0.284495,0.257569,0.282483,483744259
2010-10-17,0.283201,0.313001,0.274481,0.313001,449796644
2010-10-24,0.313481,0.316404,0.293311,0.314965,496664114
2010-10-31,0.318799,0.330491,0.311038,0.32522,469076373
2010-11-07,0.328572,0.357033,0.321339,0.353247,509712323
2010-11-14,0.351428,0.360387,0.322488,0.330108,670535849
2010-11-21,0.33576,0.337102,0.30663,0.32862,669100129
2010-11-28,0.324693,0.342707,0.315589,0.337966,547556915
2010-12-05,0.332312,0.355404,0.316981,0.354351,917268067
2010-12-12,0.354351,0.367477,0.350563,0.366808,568107608
2010-12-19,0.371456,0.372172,0.357225,0.36853,403119241
2010-12-26,0.371071,0.377969,0.361919,0.373609,250803705
2011-01-02,0.370304,0.376869,0.362685,0.3681,245531872
2011-01-09,0.377923,0.399579,0.376869,0.396367,646023270
2011-01-16,0.3933,0.421186,0.390667,0.421042,536752515
2011-01-23,0.410309,0.426505,0.391528,0.391768,590385012
